run_key,regime_label_exogenous,fold_id,seed,feature_set,feature_family,is_negative_control,selection_rule,selected_model_type,n_days,mean_daily_return,daily_volatility,volatility,sharpe,max_drawdown,turnover,hit_rate,excess_return_vs_benchmark,insufficient_days_for_sharpe
base_macro_gru__fold_14__seed42,unknown,fold_14,42,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,best_model,59,-0.0015540157272309007,0.010580330145117578,0.16795753411764627,-2.33161295990379,-0.1437195671616467,12.940677966101696,0.4406779661016949,-0.0006063764744342447,False
base_macro_gru__fold_14__seed999,bear_high_vol,fold_14,999,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,5,0.002619423687516953,0.018549015869755676,0.2944564983381839,,-0.034102038494604026,0.0,0.6,0.001766916612293675,True
base_macro_gru__fold_14__seed999,unknown,fold_14,999,base_macro_gru,negative_control_gru,True,checkpoint_robust_score,checkpoint,59,-0.001078900683252612,0.011965785695211567,0.18995095914614357,-1.4313324523435453,-0.14886093519994992,13.559322033898304,0.4406779661016949,-0.00013126143045595617,False
base_macro_hmm__fold_01__seed123,bull_low_vol,fold_01,123,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,3,0.003690160161532711,0.006037117369497942,0.09583626717239996,,-0.004296605534139464,0.0,0.6666666666666666,-0.00034846345376104,True
base_macro_hmm__fold_01__seed123,unknown,fold_01,123,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,59,0.0012380808654086281,0.01113106101019777,0.1767001155676242,1.7656829316762468,-0.052772773627311365,13.59322033898305,0.576271186440678,0.0008888715759446297,False
base_macro_hmm__fold_01__seed42,bull_low_vol,fold_01,42,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,3,0.0016607899099503332,0.0038127170941908884,0.060525007504043514,,-0.0037311379982027937,10.0,0.6666666666666666,-0.002377833705343418,True
base_macro_hmm__fold_01__seed42,unknown,fold_01,42,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,59,0.0012977650860531201,0.011584438736571258,0.18389726385138502,1.7783668709159168,-0.05747386330771698,19.76271186440678,0.559322033898305,0.0009485557965891216,False
base_macro_hmm__fold_01__seed999,bull_low_vol,fold_01,999,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,3,0.0017057932648078349,0.005288599740301171,0.08395391817958606,,-0.005386968840514816,0.0,0.6666666666666666,-0.002332830350485916,True
base_macro_hmm__fold_01__seed999,unknown,fold_01,999,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,checkpoint,59,0.001250828847398632,0.010690025573210412,0.1696988950538127,1.8574597639218593,-0.06648895696088797,9.322033898305085,0.6101694915254238,0.0009016195579346335,False
base_macro_hmm__fold_02__seed123,bear_high_vol,fold_02,123,base_macro_hmm,negative_control_hmm,True,checkpoint_robust_score,best_model,4,0.0016118627682148445,0.009705433156229919,0.15406897498527033,,-0.0148577919786812,0.0,0.75,-0.0012248486505729355,True
