run_key,model_name,feature_set,fold_id,seed,n_features,generalization_ratio,retention_ratio,selected_artifact_type,train_sharpe,train_return_pct,train_max_drawdown,train_turnover,validation_sharpe,validation_return_pct,validation_max_drawdown,validation_turnover,test_sharpe,test_return_pct,test_max_drawdown,test_turnover,regime,regime_mean_return,n_days,regime_sharpe,feature_family,is_negative_control,feature_set_description,selection_rule
base_macro__fold_02__seed123,custom_custom,base_macro,fold_02,123,12,0.0443849058547408,23.39876326680561,checkpoint,0.8708906135068705,119.00251342617484,-0.1749966082257892,0.7757188498402556,0.0386543978902799,-0.0774583344596568,-0.0504370320933896,14.9453125,0.9044651054555708,2.027940875058753,-0.0290211981277279,13.38095238095238,0.0,0.000103816740914,3,4.970285138367206,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_02__seed999,custom_custom,base_macro,fold_02,999,12,0.3992935666710947,0.1072322027273761,checkpoint,0.7502783128892919,100.22637144188296,-0.1919963156923188,0.7769968051118211,0.2995813035495369,0.7604117059585969,-0.0475256120183948,13.2734375,0.0321247630755555,-0.0382258954021108,-0.0296130752348882,12.698412698412698,0.0,-1.1678769443190797e-05,3,-0.4632413185316049,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_03__seed42,custom_custom,base_macro,fold_03,42,12,7.255396315936975,0.3030949538132341,best_model,0.7910446248960233,134.15825965861288,-0.2669574062633193,0.3248670998227997,5.739342257212354,16.59786714040321,-0.026125112747236,8.887096774193548,1.739565676368121,3.7134425620773737,-0.041659516452387,9.01639344262295,1.0,0.0006034033374976,62,1.7254798925099577,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_03__seed123,custom_custom,base_macro,fold_03,123,12,7.582829030897437,0.4319925635227421,checkpoint,0.7423210746705967,102.88309950805257,-0.1669343469397232,0.4430005906674542,5.628893795259184,13.283545557496668,-0.0190785258984951,12.096774193548388,2.4316402604112723,5.053107545578062,-0.0370585860130371,12.295081967213116,1.0,0.0008093297300252,62,2.411950541538184,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_03__seed999,custom_custom,base_macro,fold_03,999,12,5.818726945121798,0.4093434202176432,best_model,0.8199670753978316,124.0411331426336,-0.1755501257750475,0.2953337271116361,4.771164515730081,12.877844946311924,-0.0337749203213962,8.064516129032258,1.9530448012900063,4.020372154789009,-0.0431742595753509,8.19672131147541,1.0,0.0006498741692378,62,1.9372304130723004,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_04__seed42,custom_custom,base_macro,fold_04,42,12,4.149022190252063,0.5752035054360628,checkpoint,0.9899049657925793,166.7822285801386,-0.1468043253705973,0.5288937809576224,4.10713766931412,6.745235873763833,-0.014894549738579,12.833333333333334,2.3624399846979824,4.022947983975622,-0.0186710784683605,13.047619047619047,1.0,0.0006252780787744,64,2.3439107575597866,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_04__seed123,custom_custom,base_macro,fold_04,123,12,4.1977473147206,0.9595893085398008,checkpoint,1.1016143012892587,191.7823299124672,-0.1591653996612355,0.4078150798018712,4.624298475094796,8.275210713938908,-0.0131337117242529,11.11111111111111,4.437427376197871,7.679834690116127,-0.0141061683716566,11.11111111111111,1.0,0.0011654787641534,64,4.402623486873535,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_04__seed999,custom_custom,base_macro,fold_04,999,12,4.087841742508899,1.1229539103905164,checkpoint,1.0498401384737717,192.9840421980245,-0.1769394875164571,0.4402861860209136,4.291580341014407,7.7023383193824735,-0.0174827039474176,12.698412698412698,4.819246925697194,8.098605439907104,-0.018682795534742,12.698412698412698,1.0,0.0012256596184349,64,4.781448327002755,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_05__seed42,custom_custom,base_macro,fold_05,42,12,5.888622675164973,-0.1221511696240618,checkpoint,1.1012575034917935,216.55759085255707,-0.1625843007414539,0.411522633744856,6.4848899062573455,11.529538330127531,-0.0099407116103299,11.290322580645162,-0.7921368869326075,-4.711284079194956,-0.1090908922394906,11.666666666666666,0.0,-0.0016565829741059,40,-1.5616624268990007,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
base_macro__fold_05__seed123,custom_custom,base_macro,fold_05,123,12,5.468242838259568,-0.0250661641177773,checkpoint,1.1076475280162377,213.19148251458336,-0.1463851521918249,0.5555555555555556,6.056885662390705,10.243670339740207,-0.0065370790707165,13.435483870967742,-0.1518228900560978,-1.4680132338153906,-0.1014542557511435,15.25,0.0,-0.0011784976178597,40,-1.091277397415364,macro_context,False,Baseline technical features plus macro context.,checkpoint_generalization_score
